Renewable Energy Analysis Report
===============================

Monthly Generation Data:

Solar:
  2025-01: 1,683 MWh
  2025-02: 1,629 MWh
  2025-03: 2,197 MWh
  2025-04: 1,872 MWh
  2025-05: 2,115 MWh
  2025-06: 2,411 MWh
  2025-07: 2,415 MWh
  2025-08: 2,258 MWh
  2025-09: 1,848 MWh
  2025-10: 1,846 MWh
  2025-11: 1,804 MWh
  2025-12: 1,536 MWh

Wind:
  2025-01: 2,804 MWh
  2025-02: 2,800 MWh
  2025-03: 3,786 MWh
  2025-04: 3,779 MWh
  2025-05: 3,669 MWh
  2025-06: 4,409 MWh
  2025-07: 3,862 MWh
  2025-08: 4,484 MWh
  2025-09: 3,820 MWh
  2025-10: 3,622 MWh
  2025-11: 3,344 MWh
  2025-12: 2,998 MWh

Hydro:
  2025-01: 2,392 MWh
  2025-02: 2,430 MWh
  2025-03: 2,812 MWh
  2025-04: 3,061 MWh
  2025-05: 3,011 MWh
  2025-06: 3,427 MWh
  2025-07: 3,410 MWh
  2025-08: 3,386 MWh
  2025-09: 2,632 MWh
  2025-10: 3,009 MWh
  2025-11: 2,945 MWh
  2025-12: 2,460 MWh
